text,true_grade,pred_grade,prob_C,prob_S,prob_O
해당 구간 시설물의 취약 부위를 식별했습니다,C,O,0.176183,0.393821,0.429996
교육 참석자 명단을 담당 부서에 전달했습니다.,S,O,0.172407,0.401593,0.426000
해당 직원의 휴가 신청을 승인했습니다,O,S,0.165136,0.429671,0.405193
건강검진 결과를 인사팀에 제출하였습니다,S,O,0.172016,0.410166,0.417818
장애인 복지카드 사본을 제출했습니다.,C,S,0.160029,0.443173,0.396799
비공개 조직도를 첨부합니다,S,O,0.168693,0.393284,0.438024
부서별 원가율 현황을 보고드립니다,C,O,0.175842,0.378162,0.445996
해당 직원에 대해 징계위원회가 개최되었습니다,S,O,0.168460,0.415646,0.415895
재활 치료 일정으로 인해 근무시간 조정이 필요합니다,C,O,0.191256,0.386217,0.422527
행사 참가 신청서가 접수되었습니다,O,S,0.159537,0.434553,0.405910
안서현 담당자에게 해당 서류를 전달했습니다,S,O,0.168142,0.403152,0.428707
부서 간 협조 요청 서류가 접수되었습니다,O,S,0.165882,0.428041,0.406077
장애인 등록 관련 서류를 제출했습니다,S,O,0.169057,0.411141,0.419803
질병 치료로 인해 복직 일정이 연기되었습니다,C,O,0.175169,0.404316,0.420515
법적 리스크 검토 의견서를 첨부합니다,C,O,0.179906,0.375575,0.444520
수술 후 요양 중으로 복직 일정 미정입니다,S,O,0.192998,0.371664,0.435338
장비 취약점 점검 결과를 보고드립니다,C,O,0.180709,0.389563,0.429729
조민재 씨의 제출 서류를 검토했습니다,S,O,0.171446,0.379476,0.449079
내년도 예산편성안이 첨부되었습니다,C,O,0.165979,0.415365,0.418656
