id,text,label,category,cso_grade,note
1,회의는 오후 3시에 진행됩니다,일반,일반업무,O,
2,보고서는 내일까지 제출 바랍니다,일반,일반업무,O,
3,다음 주 월요일에 일정 조율 부탁드립니다,일반,일반업무,O,
4,자료 검토 후 의견 주시면 감사하겠습니다,일반,일반업무,O,
5,금일 오전 부서 회의가 예정되어 있습니다,일반,일반업무,O,
6,해당 안건은 다음 회의에서 다시 논의하겠습니다,일반,일반업무,O,
7,첨부 파일 확인 후 회신 부탁드립니다,일반,일반업무,O,
8,업무 인수인계 자료를 공유드립니다,일반,일반업무,O,
9,출장 복귀 후 결과 보고 드리겠습니다,일반,일반업무,O,
10,분기 결산 일정은 다음 주 안내 예정입니다,일반,일반업무,O,
11,시스템 점검은 금요일 저녁에 진행됩니다,일반,일반업무,O,
12,회의실 예약을 취소하고 다시 잡겠습니다,일반,일반업무,O,
13,교육 참석 여부를 이번 주 중 회신 바랍니다,일반,일반업무,O,
14,해당 부서에 협조 공문을 발송했습니다,일반,일반업무,O,
15,프로젝트 일정이 2주 연장되었습니다,일반,일반업무,O,
16,김민수 고객에게 연락 바랍니다,개인정보,성명,S,가명 사용
17,이영희 담당자가 해당 건을 처리했습니다,개인정보,성명,S,가명 사용
18,박철수 팀장님께 보고드릴 예정입니다,개인정보,성명,S,가명 사용
19,최지연 씨의 서류가 접수되었습니다,개인정보,성명,S,가명 사용
20,홍길동 민원인의 연락처를 확인했습니다,개인정보,성명/연락처,S,가명 사용
21,010-0000-1234로 연락 바랍니다,개인정보,연락처,S,가상 번호
22,02-000-0000 대표번호로 문의하시기 바랍니다,개인정보,연락처,S,가상 번호
23,test@example.com으로 자료를 보내드리겠습니다,개인정보,이메일,S,가상 이메일
24,sample@company.co.kr 주소로 회신 바랍니다,개인정보,이메일,S,가상 이메일
25,사번 AB123456으로 조회하시기 바랍니다,개인정보,사번,S,가상 사번
26,CD789012 사번 직원의 출입 기록을 확인해 주세요,개인정보,사번,S,가상 사번
27,신청인 성명과 연락처를 기재해 주시기 바랍니다,개인정보,성명/연락처,S,항목 요청 문장
28,담당자 연락처가 변경되었으니 확인 바랍니다,개인정보,연락처,S,애매한 문장 - 연락처 미노출
29,작성자 이름을 문서 하단에 기재해 주세요,개인정보,성명,S,애매한 문장 - 성명 미노출
30,민원인 정보를 시스템에 등록했습니다,개인정보,성명/연락처,S,애매한 문장 - 구체 정보 미기재
