id,text,has_personal,has_sensitive_legal,has_sensitive_business,sensitive_category,cso_grade,deidentify_method,is_direct_sensitive_text,is_document_sensitive_signal,indicated_sensitive_category,note
1,회의는 오후 3시에 진행됩니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
2,보고서는 내일까지 제출 바랍니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
3,다음 주 월요일에 일정 조율 부탁드립니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
4,자료 검토 후 의견 주시면 감사하겠습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
5,금일 오전 부서 회의가 예정되어 있습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
6,해당 안건은 다음 회의에서 다시 논의하겠습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
7,첨부 파일 확인 후 회신 부탁드립니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
8,업무 인수인계 자료를 공유드립니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
9,출장 복귀 후 결과 보고 드리겠습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
10,분기 결산 일정은 다음 주 안내 예정입니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
11,시스템 점검은 금요일 저녁에 진행됩니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
12,회의실 예약을 취소하고 다시 잡겠습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
13,교육 참석 여부를 이번 주 중 회신 바랍니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
14,해당 부서에 협조 공문을 발송했습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
15,프로젝트 일정이 2주 연장되었습니다,N,N,N,일반업무,O,해당 없음,N,N,해당 없음,
16,김민수 고객에게 연락 바랍니다,Y,N,N,성명,S,마스킹,Y,N,해당 없음,가명 사용 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
17,이영희 담당자가 해당 건을 처리했습니다,Y,N,N,성명,S,마스킹,Y,N,해당 없음,가명 사용 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
18,박철수 팀장님께 보고드릴 예정입니다,Y,N,N,성명,S,마스킹,Y,N,해당 없음,가명 사용 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
19,최지연 씨의 서류가 접수되었습니다,Y,N,N,성명,S,마스킹,Y,N,해당 없음,가명 사용 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
20,홍길동 민원인의 연락처를 확인했습니다,Y,N,N,성명/연락처,S,마스킹,Y,N,해당 없음,가명 사용 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
21,010-0000-1234로 연락 바랍니다,Y,N,N,연락처,S,마스킹,Y,N,해당 없음,가상 번호 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
22,02-000-0000 대표번호로 문의하시기 바랍니다,Y,N,N,연락처,S,마스킹,Y,N,해당 없음,가상 번호 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
23,test@example.com으로 자료를 보내드리겠습니다,Y,N,N,이메일,S,마스킹,Y,N,해당 없음,가상 이메일 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
24,sample@company.co.kr 주소로 회신 바랍니다,Y,N,N,이메일,S,마스킹,Y,N,해당 없음,가상 이메일 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
25,사번 AB123456으로 조회하시기 바랍니다,Y,N,N,사번,S,마스킹,Y,N,해당 없음,가상 사번 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
26,CD789012 사번 직원의 출입 기록을 확인해 주세요,Y,N,Y,사번/출입기록,S,마스킹 및 범주화,Y,Y,사번/출입기록,가상 사번 / 업무상 민감정보 / 개인정보 포함 / 문장 내 직접 민감요소와 문서 확인 신호가 함께 존재 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
27,신청인 성명과 연락처를 기재해 주시기 바랍니다,Y,N,N,성명/연락처,S,마스킹,Y,N,해당 없음,항목 요청 문장 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
28,담당자 연락처가 변경되었으니 확인 바랍니다,Y,N,N,연락처,S,마스킹,Y,N,해당 없음,애매한 문장 - 연락처 미노출 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
29,작성자 이름을 문서 하단에 기재해 주세요,Y,N,N,성명,S,마스킹,Y,N,해당 없음,애매한 문장 - 성명 미노출 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
30,민원인 정보를 시스템에 등록했습니다,Y,N,N,성명/연락처,S,마스킹,Y,N,해당 없음,애매한 문장 - 구체 정보 미기재 / 개인정보 포함 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
31,진단서 사본이 첨부되었습니다,N,Y,N,건강정보,S,삭제 또는 비식별화,Y,N,해당 없음,세부 기준 추후 검토 / 법령상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
32,해당 직원은 현재 병가 중입니다,N,Y,N,건강정보,S,삭제 또는 비식별화,Y,N,해당 없음,세부 기준 추후 검토 / 법령상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
33,수술 후 요양 중으로 복직 일정 미정입니다,N,Y,N,건강정보,S,삭제 또는 비식별화,Y,N,해당 없음,세부 기준 추후 검토 / 법령상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
34,우울증 치료 이력이 기록되어 있습니다,N,Y,N,건강정보,C,삭제 또는 비식별화,Y,N,해당 없음,진단명 직접 노출 / 법령상 민감정보 / is_direct_sensitive_text 정의 재정의에 따라 직접 보호 대상
