sourceFile,unitId,text,text_raw,headingPath,precedingText,candidateType,candidateReason,regexOnly,suggestedGrade,priorityScore,priorityBand,strongKeywordCount,ambiguousActionCount,anchorKeywordCount,weakKeywordCount,regexIdentifierCount,noiseFlag,userGrade,memo
1호선 통신관제 장애조치매뉴얼 (260408).md,1호선_통신관제_장애조치매뉴얼_(26_4f34ac29c7,02 관제전화 녹음설비 장애로 저장카드 리셋조치 1. 관리메뉴 떠블 클릭 → 카드재부팅 항목 생성 2. 카드 IP 확인,02 관제전화 녹음설비 장애로 저장카드 리셋조치 1. 관리메뉴 떠블 클릭 → 카드재부팅 항목 생성 2. 카드 IP 확인,,동작 확인 후 개별 실행 주/예비 동시 하지 말것) –,"[""ai_procedural_sensitive""]","[{""kw"": ""카드 재부팅"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""카드 리셋"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""재부팅"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""장애"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""조치"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""부팅"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""리셋"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""설비"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""관제"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""카드"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""확인"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""항목"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""관리"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}]",FALSE,C,12.6,high,2,5,3,3,0,FALSE,c,
1호선 통신관제 장애조치매뉴얼 (260408).md,1호선_통신관제_장애조치매뉴얼_(26_ff9ec10142,"02 관제전화 녹음설비 장애로 저장카드 리셋조치 3. 카드 재부팅 실행 → Yes(해당카드 1개 재부팅), No(전체카드 재부팅 항목으로 이동) 4. Yes 실행 → 사용중인 모든 카드 재부팅 저장카드 반기 1회 재부팅 실행 (주/예비 동작 확인 후 개별 실행 – 주/예비 동시 하지 말 것)","02 관제전화 녹음설비 장애로 저장카드 리셋조치 3. 카드 재부팅 실행 → Yes(해당카드 1개 재부팅), No(전체카드 재부팅 항목으로 이동) 4. Yes 실행 → 사용중인 모든 카드 재부팅 ※ 저장카드 반기 1회 재부팅 실행 (주/예비 동작 확인 후 개별 실행 – 주/예비 동시 하지 말 것)",,---,"[""ai_procedural_sensitive""]","[{""kw"": ""카드 재부팅"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""카드 리셋"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""재부팅"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""장애"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""조치"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""부팅"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""리셋"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""설비"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""관제"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""카드"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""확인"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""동작"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""항목"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}]",FALSE,C,12.6,high,2,5,3,3,0,FALSE,c,
2호선 신호관제 장애조치매뉴얼 (260408).md,2호선_신호관제_장애조치매뉴얼_(26_44f2128727,"2호선 UPS 동작(비상운전) NM01 비상운전 UPS의 고장으로 인한 비상시, 유지보수 점검 또는 축전지 교체 시에는 UPS의 입력, 출력전원을 차단시키지 않고 수동 바이패스로 절체하여도 부하 장비의 정상운전에는 지장이 없도록 유지보수 및 비상용 차단기가 설치되어 있습니다.","2호선 UPS 동작(비상운전) NM01 비상운전 UPS의 고장으로 인한 비상시, 유지보수 점검 또는 축전지 교체 시에는 UPS의 입력, 출력전원을 차단시키지 않고 수동 바이패스로 절체하여도 부하 장비의 정상운전에는 지장이 없도록 유지보수 및 비상용 차단기가 설치되어 있습니다.",,∙ 인버터부 이상 및 과부하 시 운전 자동적으로 무순단 바이패스 라인으로 동기 절체되어 부하에 자동전압조정장치(AVR) 의 안정된 양질의 정전압 전력을 지속적으로 공급이 이루어지게 합니다.,"[""ai_procedural_sensitive""]","[{""kw"": ""비상운전"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""바이패스"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""교체"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""절체"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""UPS"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""축전지"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""장비"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""전원"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""점검"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""정상"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""동작"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}]",FALSE,C,11.6,high,1,4,5,3,0,FALSE,c,
2호선 기계관제 장애조치매뉴얼.md,2호선_기계관제_장애조치매뉴얼_604bcd3ac6,PWR 2 UPS 이상 UPS이상 발생 관제설비 상태 확인 및 상황전파 UPS 수동 BYPASS 취급 실시 BYPASS 자동 절체? (POWER 버튼 1초 유지 후 N LCD에서 ‘OFF’ 선택) Y 복구완료 및 피해현황 보고 상황종료,PWR 2 UPS 이상 UPS이상 발생 관제설비 상태 확인 및 상황전파 UPS 수동 BYPASS 취급 실시 BYPASS 자동 절체? (POWER 버튼 1초 유지 후 N LCD에서 ‘OFF’ 선택) Y 복구완료 및 피해현황 보고 상황종료,,57,"[""ai_procedural_sensitive""]","[{""kw"": ""BYPASS 취급"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""자동 절체"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""복구"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""절체"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""UPS"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""설비"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""관제"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""확인"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""상태"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""보고"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""발생"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""완료"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}]",FALSE,C,10.6,high,2,2,3,5,0,FALSE,c,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_a986444c6f,계통절차에 의한 연락수전(기지 임학) 해당차단기 순차투입,계통절차에 의한 연락수전(기지임학) / 해당차단기 순차투입,,④ / 열차관제 통보 및 파트장 승인 후,"[""ai_procedural_sensitive""]","[{""kw"": ""순차 투입"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""연락수전"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""투입"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""계통"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}]",FALSE,C,10,high,2,2,2,0,0,FALSE,s,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_134584cc64,계통절차에 의한 연락수전(임학 작전) 해당차단기 순차투입,계통절차에 의한 연락수전(임학 / 작전) / 해당차단기 순차투입,,④ / 열차관제 통보 및 파트장 승인 / 후 / (임학작전),"[""ai_procedural_sensitive""]","[{""kw"": ""순차 투입"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""연락수전"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""투입"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""계통"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}]",FALSE,C,10,high,2,2,2,0,0,FALSE,s,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_50c80858fe,계통절차에 의한 연락수전(임 학➡작전) 해당차단기 순차투입,계통절차에 의한 연락수전(임 / 학➡작전) / 해당차단기 순차투입,,④ / 열차관제 통보 및 파트장 승 / 인 후,"[""ai_procedural_sensitive""]","[{""kw"": ""순차 투입"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""연락수전"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""투입"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""계통"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}]",FALSE,C,10,high,2,2,2,0,0,FALSE,s,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_06958946a9,계통절차에 의한 연락수전(부평시장 부평삼거리) 해당차단기 순차투입,계통절차에 의한 연락수전(부평시장부평삼거리) / 해당차단기 순차투입,,④ / 열차관제 통보 및 파트장 승인 후,"[""ai_procedural_sensitive""]","[{""kw"": ""순차 투입"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""연락수전"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""투입"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""계통"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}]",FALSE,C,10,high,2,2,2,0,0,FALSE,s,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_7bb7d7aed6,계통절차에 의한 연락수전(부 평시장➡부평삼거리) 해당차단기 순차투입,계통절차에 의한 연락수전(부 / 평시장➡부평삼거리) / 해당차단기 순차투입,,④ / 열차관제 통보 및 파트장 승 / 인 후,"[""ai_procedural_sensitive""]","[{""kw"": ""순차 투입"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""연락수전"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""투입"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""계통"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}]",FALSE,C,10,high,2,2,2,0,0,FALSE,s,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_0c43bc8909,계통절차에 의한 연락수전(예술회관 신연수) 해당차단기 순차투입,계통절차에 의한 연락수전( / 예술회관신연수) / 해당차단기 순차투입,,④ / 열차관제 통보 및 파트장 / 승인 후,"[""ai_procedural_sensitive""]","[{""kw"": ""순차 투입"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""연락수전"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""투입"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""계통"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}]",FALSE,C,10,high,2,2,2,0,0,FALSE,s,
