sourceFile,unitId,text,headingPath,precedingText,candidateType,candidateReason,regexOnly,suggestedGrade,priorityScore,priorityBand,strongKeywordCount,ambiguousActionCount,anchorKeywordCount,weakKeywordCount,regexIdentifierCount,noiseFlag,userGrade,memo
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_5b672a6d3a,신부평급전분소 : 032) 501-6012 / (열차운행 일시정지 요청) / 해당차단기 / 순차투입,,김포급전분소 : 031)8048-3466 / 64P동작 방지 / 수전 받 / 은후,"[""ai_procedural_sensitive"", ""regex_identifier""]","[{""kw"": ""순차 투입"", ""track"": ""C"", ""group"": ""strong_procedural"", ""role"": ""strong_procedural""}, {""kw"": ""투입"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""급전"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""032) 501-6012"", ""label"": ""지역번호 괄호식 전화"", ""track"": ""regex"", ""group"": ""phone_area_bracket"", ""role"": ""regex_identifier""}]",false,C,5.0,medium,1,3,1,0,1,false,,
1호선 기계관제 장애조치매뉴얼.md,1호선_기계관제_장애조치매뉴얼_5f5da95f37,․ / 발생장애(비상재난상황) / 현황분석 및 / 관제사별 / 조치업무 분장 / 080-989-7119,,․ / 기계설비계통 감시․제어 / 및 통제업무 / 주관 / 지멘스 콜센터,"[""ai_procedural_sensitive"", ""regex_identifier""]","[{""kw"": ""업무분장"", ""track"": ""S"", ""group"": ""s_business_sensitive"", ""role"": ""s_business_sensitive""}, {""kw"": ""장애"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""조치"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""관제"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""발생"", ""track"": ""weak"", ""group"": ""weak"", ""role"": ""weak""}, {""kw"": ""080-989-7119"", ""label"": ""전화번호"", ""track"": ""regex"", ""group"": ""phone"", ""role"": ""regex_identifier""}]",false,C,4.2,medium,1,2,1,1,1,false,,
1호선 신호관제 검사표준매뉴얼(260408).md,1호선_신호관제_검사표준매뉴얼(260_75348f372e,통합제어시스템 / - / 20*.23*.9*.220 / 12*.23*.9*.220,,Slave / 20*.23*.9*.102 / 12*.23*.9*.102,"[""regex_identifier""]","[{""kw"": ""제어"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""시스템"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""20*.23*.9*.220"", ""label"": ""마스킹 IP"", ""track"": ""regex"", ""group"": ""ip_masked"", ""role"": ""regex_identifier""}, {""kw"": ""12*.23*.9*.220"", ""label"": ""마스킹 IP"", ""track"": ""regex"", ""group"": ""ip_masked"", ""role"": ""regex_identifier""}]",true,,2.0,low,0,1,1,0,2,false,,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_b05ef939b1,전기파트 : 032) 451-3310~14 / 열차관제 통보 및 파트장 승인후 / 해당차단기 순차,,신부평급전분소 : 032) 501-6012 / 수전 받은후,"[""regex_identifier""]","[{""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""차단기"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""관제"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""032) 451-3310"", ""label"": ""지역번호 괄호식 전화"", ""track"": ""regex"", ""group"": ""phone_area_bracket"", ""role"": ""regex_identifier""}]",true,,2.0,low,0,1,2,1,1,false,,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_89a6599a16,전기파트 : 032) 451-3310 / ~14 / 열차관제 통보 및 파트장 승인후 해당차단 / 기 순차,,수전 / 받은후,"[""regex_identifier""]","[{""kw"": ""차단"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""관제"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""032) 451-3310"", ""label"": ""지역번호 괄호식 전화"", ""track"": ""regex"", ""group"": ""phone_area_bracket"", ""role"": ""regex_identifier""}]",true,,2.0,low,0,1,1,1,1,false,,
1호선 전력관제 장애조치매뉴얼 (260408).md,1호선_전력관제_장애조치매뉴얼_(26_e0c8a94278,전기파트 : 032) 451-3310~14 / 열 / 차관제 통보 및 파트장 승인후 연락급전,,신부평급전분소 : 032) 501-6012 / (열차운행 일시정지 요청) / 해당차단기 / 순차투입,"[""regex_identifier""]","[{""kw"": ""급전"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""관제"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""032) 451-3310"", ""label"": ""지역번호 괄호식 전화"", ""track"": ""regex"", ""group"": ""phone_area_bracket"", ""role"": ""regex_identifier""}]",true,,2.0,low,0,1,1,1,1,false,,
1호선 정보통신설비 검사표준매뉴얼(202507_Rev13).md,1호선_정보통신설비_검사표준매뉴얼(2_aede444982,2 / ) 접속주 / 소 : / http://10.5.54.53/ace / man/in / dex.do (현장 / 용 계정으로 로그인),,1 / ) 노트북 / 과 스 / 위치(LTE-R망) 간 / UTP케 / 이블을 연결 / 하고 IP설정 후 망에,"[""regex_identifier""]","[{""kw"": ""접속"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""현장"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""10.5.54.53"", ""label"": ""내부 IP 주소"", ""track"": ""regex"", ""group"": ""ip"", ""role"": ""regex_identifier""}]",true,,2.0,low,0,1,1,0,1,false,,
1호선 정보통신설비 검사표준매뉴얼(202507_Rev13).md,1호선_정보통신설비_검사표준매뉴얼(2_aa46cae455,2) 접속주 / 소 : http://10.5.54.53/ace / man/index.do (현장용 / 계정으로,,1) 노트북 / 과 스위치(LTE-R망) 간 / UTP케이블을 연결하 / 고 IP설정,"[""regex_identifier""]","[{""kw"": ""접속"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""현장"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""10.5.54.53"", ""label"": ""내부 IP 주소"", ""track"": ""regex"", ""group"": ""ip"", ""role"": ""regex_identifier""}]",true,,2.0,low,0,1,1,0,1,false,,
1호선 정보통신설비 검사표준매뉴얼(202507_Rev13).md,1호선_정보통신설비_검사표준매뉴얼(2_d28c9c9533,2) 접속주 / 소 / : http://10.5.54.53/ace / man/in / dex.do (현장 / 용 계정으로 로그인)-,,-현장 작 / 업 / 시 필요,"[""regex_identifier""]","[{""kw"": ""접속"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""현장"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""10.5.54.53"", ""label"": ""내부 IP 주소"", ""track"": ""regex"", ""group"": ""ip"", ""role"": ""regex_identifier""}]",true,,2.0,low,0,1,1,0,1,false,,
1호선 통신관제 검사표준매뉴얼(260408).md,1호선_통신관제_검사표준매뉴얼(260_e8445ccec5,❍ / 백업서버(10.5.54.88) / 원격접속하여 / Putt,,- / Spare Disk LED가 적 / 색으로 점등 / 됨을,"[""regex_identifier""]","[{""kw"": ""접속"", ""track"": ""ambiguous"", ""group"": ""ambiguous_action"", ""role"": ""ambiguous_action""}, {""kw"": ""서버"", ""track"": ""anchor"", ""group"": ""operational_anchor"", ""role"": ""operational_anchor""}, {""kw"": ""10.5.54.88"", ""label"": ""내부 IP 주소"", ""track"": ""regex"", ""group"": ""ip"", ""role"": ""regex_identifier""}]",true,,2.0,low,0,1,1,0,1,false,,
